scenario,seed,true_positive_cells,false_positive_cells,false_negative_cells,true_negative_cells,precision,recall,f1,false_safe_rate,target_produced,target_is_truly_safe,target_error_m,runtime_ms,peak_detector_memory_kib,coverage,direct_measurement_coverage,raw_samples,frames,acquisition_duration_s,candidate_count,truth_safe_cells,predicted_safe_cells
mixed_slope,2009,8,0,40,393,1.0,0.16666666666666666,0.2857142857142857,0.0,True,True,0.0,2.5444000002607936,178.587890625,1.0,0.9365079365079365,8832,150,10.0,1,48,8
mixed_slope,2010,1,0,47,393,1.0,0.020833333333333332,0.04081632653061225,0.0,True,True,0.0,2.057199999853765,57.2490234375,1.0,0.9115646258503401,8817,150,10.0,1,48,1
mixed_slope,2011,0,0,48,393,1.0,0.0,0.0,0.0,False,,,1.640899999983958,57.294921875,1.0,0.927437641723356,8847,150,10.0,0,48,0
mixed_slope,2012,1,0,47,393,1.0,0.020833333333333332,0.04081632653061225,0.0,True,True,0.0,1.8111999997927342,57.2490234375,1.0,0.909297052154195,8839,150,10.0,1,48,1
mixed_slope,2013,18,0,30,393,1.0,0.375,0.5454545454545454,0.0,True,True,0.0,1.6915000001063163,254.0576171875,1.0,0.9319727891156463,8850,150,10.0,1,48,18
mixed_slope,2014,6,0,42,393,1.0,0.125,0.2222222222222222,0.0,True,True,0.0,2.0512999999482417,138.4814453125,1.0,0.9138321995464853,8803,150,10.0,1,48,6
mixed_slope,2015,0,0,48,393,1.0,0.0,0.0,0.0,False,,,1.733099999910337,57.2490234375,1.0,0.9342403628117913,8808,150,10.0,0,48,0
mixed_slope,2016,8,0,40,393,1.0,0.16666666666666666,0.2857142857142857,0.0,True,True,0.0,2.2851000003356603,178.4970703125,1.0,0.8956916099773242,8823,150,10.0,1,48,8
mixed_slope,2017,4,0,44,393,1.0,0.08333333333333333,0.15384615384615385,0.0,True,True,0.0,1.9032000000152038,98.05859375,1.0,0.9319727891156463,8841,150,10.0,1,48,4
mixed_slope,2018,20,0,28,393,1.0,0.4166666666666667,0.5882352941176471,0.0,True,True,0.0,2.2066999999879044,278.99609375,1.0,0.9160997732426304,8788,150,10.0,1,48,20
mixed_slope,2019,4,0,44,393,1.0,0.08333333333333333,0.15384615384615385,0.0,True,True,0.0,2.697500000067521,98.10546875,1.0,0.9251700680272109,8825,150,10.0,1,48,4
rough_patch,2000,0,0,58,383,1.0,0.0,0.0,0.0,False,,,1.3005000000703149,57.2490234375,1.0,0.9523809523809523,8820,150,10.0,0,58,0
rough_patch,2001,2,0,40,399,1.0,0.047619047619047616,0.0909090909090909,0.0,True,True,0.0,1.7953000001398323,57.2939453125,1.0,0.9115646258503401,8834,150,10.0,1,42,2
rough_patch,2002,4,0,55,382,1.0,0.06779661016949153,0.12698412698412698,0.0,True,True,0.0,2.2069999999985157,98.1044921875,1.0,0.9138321995464853,8830,150,10.0,1,59,4
rough_patch,2003,0,0,75,366,1.0,0.0,0.0,0.0,False,,,1.3559999997596606,57.240234375,1.0,0.9138321995464853,8819,150,10.0,0,75,0
rough_patch,2004,2,0,48,391,1.0,0.04,0.07692307692307693,0.0,True,True,0.0,1.3742000001002452,57.240234375,1.0,0.9251700680272109,8829,150,10.0,1,50,2
rough_patch,2005,0,0,52,389,1.0,0.0,0.0,0.0,False,,,1.4900999999554188,57.1943359375,1.0,0.8979591836734694,8849,150,10.0,0,52,0
rough_patch,2006,0,0,50,391,1.0,0.0,0.0,0.0,False,,,1.459300000078656,57.1943359375,1.0,0.9183673469387755,8833,150,10.0,0,50,0
rough_patch,2007,10,0,42,389,1.0,0.19230769230769232,0.32258064516129037,0.0,True,True,0.0,2.3977999999260646,204.2841796875,1.0,0.9047619047619048,8820,150,10.0,1,52,10
rough_patch,2008,5,0,37,399,1.0,0.11904761904761904,0.21276595744680848,0.0,True,True,0.0,1.3814999997521227,117.7470703125,1.0,0.9183673469387755,8782,150,10.0,1,42,5
rough_patch,2009,4,0,78,359,1.0,0.04878048780487805,0.09302325581395349,0.0,True,True,0.0,2.0413999995980703,97.5673828125,1.0,0.9365079365079365,8832,150,10.0,1,82,4
rough_patch,2010,2,0,64,375,1.0,0.030303030303030304,0.05882352941176471,0.0,True,True,0.0,2.766900000096939,57.240234375,1.0,0.9115646258503401,8817,150,10.0,1,66,2
rough_patch,2011,0,0,56,385,1.0,0.0,0.0,0.0,False,,,1.3694999997824198,57.1943359375,1.0,0.927437641723356,8847,150,10.0,0,56,0
rough_patch,2012,0,0,50,391,1.0,0.0,0.0,0.0,False,,,1.813400000173715,57.240234375,1.0,0.909297052154195,8839,150,10.0,0,50,0
rough_patch,2013,12,0,38,391,1.0,0.24,0.3870967741935484,0.0,True,True,0.0,1.594199999999546,216.80078125,1.0,0.9319727891156463,8850,150,10.0,1,50,12
rough_patch,2014,6,0,46,389,1.0,0.11538461538461539,0.20689655172413793,0.0,True,True,0.0,1.4084000004004338,137.984375,1.0,0.9138321995464853,8803,150,10.0,1,52,6
rough_patch,2015,0,0,57,384,1.0,0.0,0.0,0.0,False,,,1.7084999999497086,57.240234375,1.0,0.9342403628117913,8808,150,10.0,0,57,0
rough_patch,2016,6,0,43,392,1.0,0.12244897959183673,0.2181818181818182,0.0,True,True,0.0,1.4022999998815067,138.0341796875,1.0,0.8956916099773242,8823,150,10.0,1,49,6
rough_patch,2017,6,0,72,363,1.0,0.07692307692307693,0.14285714285714288,0.0,True,True,0.0,2.0119000000704546,137.939453125,1.0,0.9319727891156463,8841,150,10.0,1,78,6
rough_patch,2018,25,0,34,382,1.0,0.423728813559322,0.5952380952380952,0.0,True,True,0.0,1.652500000091095,340.2578125,1.0,0.9160997732426304,8788,150,10.0,1,59,25
rough_patch,2019,5,0,53,383,1.0,0.08620689655172414,0.15873015873015872,0.0,True,True,0.0,1.9585000000006403,117.8388671875,1.0,0.9251700680272109,8825,150,10.0,1,58,5
step_and_pit,2000,0,0,30,411,1.0,0.0,0.0,0.0,False,,,2.279099999668688,57.2861328125,1.0,0.9523809523809523,8820,150,10.0,0,30,0
step_and_pit,2001,0,0,30,411,1.0,0.0,0.0,0.0,False,,,1.3122000000294065,57.1943359375,1.0,0.9115646258503401,8834,150,10.0,0,30,0
step_and_pit,2002,0,0,30,411,1.0,0.0,0.0,0.0,False,,,1.3587000003099092,57.240234375,1.0,0.9138321995464853,8830,150,10.0,0,30,0
step_and_pit,2003,0,0,30,411,1.0,0.0,0.0,0.0,False,,,2.1259999998619605,57.240234375,1.0,0.9138321995464853,8819,150,10.0,0,30,0
step_and_pit,2004,1,0,29,411,1.0,0.03333333333333333,0.06451612903225806,0.0,True,True,0.0,1.6581999998379615,57.240234375,1.0,0.9251700680272109,8829,150,10.0,1,30,1
step_and_pit,2005,0,0,30,411,1.0,0.0,0.0,0.0,False,,,1.8743000000540633,57.1943359375,1.0,0.8979591836734694,8849,150,10.0,0,30,0
step_and_pit,2006,0,0,30,411,1.0,0.0,0.0,0.0,False,,,2.4849000001267996,57.240234375,1.0,0.9183673469387755,8833,150,10.0,0,30,0
step_and_pit,2007,0,0,30,411,1.0,0.0,0.0,0.0,False,,,1.6401999996560335,57.2861328125,1.0,0.9047619047619048,8820,150,10.0,0,30,0
step_and_pit,2008,0,0,30,411,1.0,0.0,0.0,0.0,False,,,2.1561000003202935,57.1943359375,1.0,0.9183673469387755,8782,150,10.0,0,30,0
step_and_pit,2009,0,0,30,411,1.0,0.0,0.0,0.0,False,,,1.4247999997678562,57.1943359375,1.0,0.9365079365079365,8832,150,10.0,0,30,0
step_and_pit,2010,0,0,30,411,1.0,0.0,0.0,0.0,False,,,2.2143000001051405,57.240234375,1.0,0.9115646258503401,8817,150,10.0,0,30,0
