scenario,seed,true_positive_cells,false_positive_cells,false_negative_cells,true_negative_cells,precision,recall,f1,false_safe_rate,target_produced,target_is_truly_safe,target_error_m,runtime_ms,peak_detector_memory_kib,coverage,direct_measurement_coverage,raw_samples,frames,acquisition_duration_s,candidate_count,truth_safe_cells,predicted_safe_cells
flat_obstacles,29,5,0,107,329,1.0,0.044642857142857144,0.08547008547008547,0.0,True,True,0.0,2.295799999956216,118.2861328125,1.0,0.9229024943310657,8825,150,10.0,1,112,5
flat_obstacles,30,1,0,111,329,1.0,0.008928571428571428,0.017699115044247787,0.0,True,True,0.0,2.4767999998402956,57.2041015625,1.0,0.9342403628117913,8833,150,10.0,1,112,1
flat_obstacles,31,17,0,95,329,1.0,0.15178571428571427,0.26356589147286824,0.0,True,True,0.0,2.136999999947875,205.2578125,1.0,0.9297052154195011,8792,150,10.0,2,112,17
flat_obstacles,32,3,0,109,329,1.0,0.026785714285714284,0.052173913043478265,0.0,True,True,0.0,2.1789000002172543,77.626953125,1.0,0.9047619047619048,8878,150,10.0,1,112,3
flat_obstacles,33,6,0,106,329,1.0,0.05357142857142857,0.10169491525423728,0.0,True,True,0.0,1.765500000146858,138.390625,1.0,0.9365079365079365,8834,150,10.0,1,112,6
flat_obstacles,34,0,0,112,329,1.0,0.0,0.0,0.0,False,,,1.564199999847915,57.25,1.0,0.909297052154195,8796,150,10.0,0,112,0
flat_obstacles,35,6,0,106,329,1.0,0.05357142857142857,0.10169491525423728,0.0,True,True,0.0,2.148999999917578,138.4365234375,1.0,0.909297052154195,8823,150,10.0,1,112,6
flat_obstacles,36,4,0,108,329,1.0,0.03571428571428571,0.0689655172413793,0.0,True,True,0.0,2.140999999937776,98.0126953125,1.0,0.9229024943310657,8860,150,10.0,1,112,4
flat_obstacles,37,6,0,106,329,1.0,0.05357142857142857,0.10169491525423728,0.0,True,True,0.0,1.4498999998977524,138.4345703125,1.0,0.8979591836734694,8799,150,10.0,1,112,6
flat_obstacles,38,6,0,106,329,1.0,0.05357142857142857,0.10169491525423728,0.0,True,True,0.0,1.4510999999401974,138.4365234375,1.0,0.9160997732426304,8855,150,10.0,1,112,6
flat_obstacles,39,0,0,112,329,1.0,0.0,0.0,0.0,False,,,1.855999999861524,57.25,1.0,0.9002267573696145,8817,150,10.0,0,112,0
flat_obstacles,40,5,0,107,329,1.0,0.044642857142857144,0.08547008547008547,0.0,True,True,0.0,1.5128999998523796,118.23828125,1.0,0.9024943310657596,8818,150,10.0,1,112,5
flat_obstacles,41,0,0,112,329,1.0,0.0,0.0,0.0,False,,,1.9084999998995045,57.2490234375,1.0,0.9342403628117913,8859,150,10.0,0,112,0
flat_obstacles,42,23,0,89,329,1.0,0.20535714285714285,0.34074074074074073,0.0,True,True,0.0,2.0936999999321415,254.8955078125,1.0,0.9206349206349206,8804,150,10.0,2,112,23
flat_obstacles,43,0,0,112,329,1.0,0.0,0.0,0.0,False,,,1.3426000000436034,57.1494140625,1.0,0.9410430839002267,8795,150,10.0,0,112,0
flat_obstacles,44,6,0,106,329,1.0,0.05357142857142857,0.10169491525423728,0.0,True,True,0.0,2.3384000000987726,137.9443359375,1.0,0.9183673469387755,8824,150,10.0,1,112,6
flat_obstacles,45,2,0,110,329,1.0,0.017857142857142856,0.03508771929824561,0.0,True,True,0.0,1.9965999999840278,57.1953125,1.0,0.9229024943310657,8798,150,10.0,1,112,2
flat_obstacles,46,16,0,96,329,1.0,0.14285714285714285,0.25,0.0,True,True,0.0,1.9990000000689179,234.703125,1.0,0.9478458049886621,8828,150,10.0,2,112,16
flat_obstacles,47,7,0,105,329,1.0,0.0625,0.11764705882352941,0.0,True,True,0.0,2.3479999999835854,137.6787109375,1.0,0.9206349206349206,8832,150,10.0,2,112,7
flat_obstacles,48,27,0,85,329,1.0,0.24107142857142858,0.3884892086330935,0.0,True,True,0.0,2.0405999998729385,297.0439453125,1.0,0.8843537414965986,8873,150,10.0,2,112,27
flat_obstacles,49,3,0,109,329,1.0,0.026785714285714284,0.052173913043478265,0.0,True,True,0.0,1.4806999997745152,77.232421875,1.0,0.9002267573696145,8823,150,10.0,1,112,3
mixed_slope,0,0,0,48,393,1.0,0.0,0.0,0.0,False,,,1.5733000000182074,57.2412109375,1.0,0.9183673469387755,8808,150,10.0,0,48,0
mixed_slope,1,0,0,48,393,1.0,0.0,0.0,0.0,False,,,1.3573999999607622,57.1494140625,1.0,0.9229024943310657,8862,150,10.0,0,48,0
mixed_slope,2,0,0,48,393,1.0,0.0,0.0,0.0,False,,,1.352599999790982,57.1953125,1.0,0.9047619047619048,8807,150,10.0,0,48,0
mixed_slope,3,20,0,28,393,1.0,0.4166666666666667,0.5882352941176471,0.0,True,True,0.0,1.596999999947002,278.458984375,1.0,0.9365079365079365,8847,150,10.0,1,48,20
mixed_slope,4,0,0,48,393,1.0,0.0,0.0,0.0,False,,,1.3562000003730645,57.1953125,1.0,0.9251700680272109,8898,150,10.0,0,48,0
mixed_slope,5,4,0,44,393,1.0,0.08333333333333333,0.15384615384615385,0.0,True,True,0.0,1.7376000000695058,97.5205078125,1.0,0.9342403628117913,8858,150,10.0,1,48,4
mixed_slope,6,0,0,48,393,1.0,0.0,0.0,0.0,False,,,1.4073000002099434,57.1953125,1.0,0.9319727891156463,8815,150,10.0,0,48,0
mixed_slope,7,0,0,48,393,1.0,0.0,0.0,0.0,False,,,1.2654000001930399,57.1953125,1.0,0.9659863945578231,8882,150,10.0,0,48,0
mixed_slope,8,0,0,48,393,1.0,0.0,0.0,0.0,False,,,1.2693999997281935,57.1953125,1.0,0.9206349206349206,8892,150,10.0,0,48,0
